,big_1
0,0.012750406980513551
1,0.05627003431320221
2,0.14156026458740179
3,0.0023848174810399136
4,0.7230107164382948
5,0.029972235679620596
6,0.41287382245063986
7,0.21413314867019118
8,0.06303414821624242
9,0.603656825065614
10,0.11095008659362016
11,0.1597804136276244
12,0.30213911080360223
13,0.4294146313667211
14,0.37207549905776827
15,0.21784012699126842
16,0.1105714559555071
17,0.028646529555323097
18,0.7770711863040907
19,0.7007663168907134
20,0.06668453240394268
21,0.3616776843070988
22,0.39841799521446086
23,0.030341369390489037
24,0.5896035265922568
25,0.19562137126922474
26,0.2143595266342131
27,0.04507212662697113
28,0.846336900949475
29,0.027062276124954154
30,0.3797718167304991
31,0.3559100337028509
32,0.4184335207939165
33,0.02697776699066079
34,0.7402324143648151
35,0.11198956239223468
36,0.15570855808257988
37,0.24430389285087672
38,0.7555999171733863
39,0.19829586076736527
40,0.1213213109970046
41,0.4423725743293747
42,0.21779571473598547
43,0.2666080299615867
44,0.03521890139579931
45,0.5863482520580261
46,0.07057090473174643
47,0.6436424965858487
48,0.009196552753449883
49,0.24953836393356355
50,0.9786383235454545
51,0.12982639741897417
52,0.4000364154577264
53,0.09697032976150721
54,0.2623538635969096
55,0.14865538775920784
56,0.912201208472248
57,0.032947080612179214
58,0.03308182954787986
59,0.8075269904136628
60,0.2527197270393371
61,0.03205529260635487
62,0.3238733980655635
63,0.3215923604965223
64,0.16583497440814865
65,0.09698303997516766
66,0.449659049630164
67,0.013252230048179214
68,0.3625444014072463
69,0.2503794434070592
70,0.6762173317670834
71,1.6749135818481422
72,0.23100876724720076
73,0.02076147615909285
74,0.316348403453828
75,0.1814230247735953
76,0.1849571377038952
77,0.7500011162757878
78,0.7566801129579552
79,0.1559159967899313
80,0.08878973805904078
81,0.21886785793304409
82,0.11298781692981774
83,0.2644267537593863
84,0.787937758207323
85,0.909165543556214
86,0.1801859599351876
87,0.23605129837989836
88,0.22769550132751282
89,0.47313503432274207
90,0.43079093921184386
91,0.31275700783729654
92,0.364065098285673
93,0.5716004199981701
94,0.8676686019897482
95,0.2233142848014813
96,0.31520828843116866
97,0.15059825825691275
98,0.06072146129608291
99,0.00779671573639229
100,0.22868362772465
101,0.31580613803863233
102,0.38091935622692397
103,0.25760945761203713
104,0.30602443361282217
105,0.31745573222637224
106,0.3635147379636756
107,0.7285341749191261
108,0.3638588061332717
109,0.3625470463037501
110,0.4820547599792411
111,0.029664475440985605
112,0.32305082368850857
113,0.6647701325416611
114,0.4207817556858062
115,2.886579864025407e-15
116,0.6313131442069997
117,0.5853461487293252
118,1.580004397153856
119,0.6470592819452285
120,0.7009721786975853
121,0.47656563830376
122,1.4083531438112273
123,0.6524894769191751
124,0.9400647011995318
125,0.21797804760932982
126,0.06657929980755051
127,0.48852962660789334
128,0.46049261510372097
129,0.15444690644740988
130,0.1887859569787984
131,0.015712983131406677
132,0.3699681863784785
133,0.5434701976776162
134,0.37255391550064276
135,0.16854666328430756
136,0.4673414448499704
137,0.2519528708457972
138,0.06835587430000478
139,0.19256002545356976
140,0.6631982800960508
141,0.08953157711028803
142,0.6619983000755307
143,0.5027725994586918
144,0.19292800343036465
145,0.028692637562751422
146,0.35529683685302604
147,0.6319591852426518
148,0.42801196527481356
149,0.1840018730163573
150,0.9672045707702623
151,0.9960812177658083
152,0.6022966251373301
153,0.027749548673629665
154,1.9984014443252818e-15
155,0.0
156,0.0
157,0.4878494436740899
158,0.4791880095005032
159,1.2411276693344093
160,0.3367044420242338
161,0.0622308496236772
162,0.38166856002807004
163,0.6436667580604496
164,0.5654831833839418
165,0.1892767105102493
166,0.3197789220809959
167,0.25953137087821476
168,0.2784204690456398
169,0.1759449619054807
170,0.2852671738862982
171,0.2466366201639163
172,0.8339607822895077
173,0.01411535072326231
174,0.08920232486725377
175,0.517200341939926
176,0.22289867532253282
177,0.38700463485718295
178,0.13876703000068624
179,0.0
180,0.8458056551218041
181,0.29714930188655986
182,0.27671710777282765
183,0.27783325910568224
184,0.32578828501701196
185,0.43664532244205656
186,0.2578509864807197
187,0.45154946255683726
188,0.4887462921142567
189,0.09791724252700629
190,0.21143410778045713
191,0.24682667911052714
192,0.43003552031517334
193,0.43797343587875726
194,0.028653360128400696
195,0.10676915359497019
196,0.1452903026342396
197,0.2154693107604999
198,0.6945292496681184
199,0.3877993048429491
200,0.8291322344541561
201,0.37723417973517925
202,0.13216436290741096
203,0.4271836152076749
204,0.07771078538894649
205,0.599057881355284
206,0.3337836971282977
207,0.9062960119247419
208,1.143694175958636
209,0.16881308579444898
210,0.054665635585787076
211,0.06863454437255534
212,0.28961654663086
213,0.8817920391559562
214,0.16766307258605995
215,0.3033791494369438
216,0.4485971069335988
217,0.366744214057924
218,0.2634680857658336
219,0.03752329635620244
220,0.7765970134735052
221,0.2470343753099462
222,0.09098143815993787
223,0.5913001592159244
224,0.01338564586639679
225,0.15409356951713749
226,0.06476548004149851
227,0.9573964276313784
228,0.12075065839290788
229,0.06990964698791391
230,0.14451522827148544
231,0.06187288546562142
232,0.19022084856033583
233,0.36717447185516106
234,0.17739044976234863
235,0.7274291450977319
236,0.09014726662635697
237,0.24192662096023598
238,0.045792315006260687
239,0.5941755595207256
240,0.031677439808842855
241,0.14022001945972695
242,0.09603017234802813
243,0.12408707904815808
244,0.31953151297569393
245,0.05102025508880614
246,0.08515234804153482
247,0.06859620404243838
248,0.2637031304836297
249,0.7641486037969596
250,0.05542764902114916
251,0.3034200516939165
252,0.04739356875419509
253,0.6496597762107807
254,0.21247535514831606
255,0.20381894731521744
256,0.9222118077278121
257,0.44047867965698106
258,1.4091461255550426
259,0.26388695025444386
260,0.1480819435119587
261,0.273340937018393
262,0.06727144491672443
263,0.024164632797242902
264,0.7617758052349037
265,0.375006119608881
266,0.8476068181991563
267,0.17950484025478497
268,0.20607373285293873
269,0.15415299701690566
270,0.5014818472862257
271,0.0023004693985040348
272,0.4491208419799744
273,0.378193406820293
274,0.53249691414833
275,0.08539581990241984
276,0.08935174465179951
277,1.2270320646762825
278,0.10276283025741462
279,1.3959636344909627
280,0.7411723839044573
281,0.36200115001201283
282,0.17433034586906415
283,0.11336290907859858
284,0.10590187871456491
285,0.08231162357330346
286,0.5056374914646118
287,0.37581823992728935
288,0.3202542428970325
289,0.041484066247936546
290,0.019338980078698942
291,0.23843977308273656
292,0.18588393211364584
293,0.1332096357345578
294,0.005627743244165373
295,0.27628859746456413
296,0.016061626911157756
297,0.6904570335149767
298,0.14996226227283316
299,0.6556120450496659
300,0.6312819561958274
301,0.7839427078962324
302,0.8219274342060081
303,0.26032625627517625
304,0.7091770098209356
305,0.21041809773445097
306,0.581306795835498
307,0.4295015019178394
308,0.9055504658222189
309,0.8133035058975193
310,0.602496634602546
311,0.27952633523941084
312,0.9857267384529096
313,0.15359719944000405
314,0.15384779489040068
