,Eg_error
0,0.0905012493133539
1,0.0003996260166168053
2,0.03552197587490136
3,0.01799392080307005
4,0.4301908805370309
5,0.005467912673947417
6,1.0664157167673114
7,0.02502829194068834
8,0.7070295159816746
9,0.5023133077621447
10,0.018134879171847196
11,0.1619052962064742
12,0.30600874686241264
13,0.0658455531597184
14,0.44881662750244067
15,0.79310279226303
16,0.024287878394126272
17,0.16985285437106956
18,0.29765288519859334
19,2.2397796537876116
20,0.3281809291839599
21,0.17851200520992472
22,0.3880440874099711
23,0.5357607538700107
24,0.6948137059211721
25,0.035420902132986765
26,0.2507756420373908
27,0.22402403128147186
28,0.4143539932966225
29,0.2022337149381641
30,0.10644764924049621
31,0.2322154952287665
32,0.3931258049011248
33,0.03249256205558959
34,0.5034550247192393
35,0.07892715716361964
36,0.13040991318225714
37,0.2879170186519646
38,1.2795628385543805
39,0.6649293696880325
40,0.10231236672401378
41,0.12234866714477466
42,0.18358829426765433
43,0.13665086531639026
44,0.0665222829580343
45,0.1923123335838306
46,0.23459225535392703
47,0.24731297183037126
48,0.010783727049828329
49,0.0725072526931756
50,0.1014062620401317
51,0.5262485502958312
52,0.19093571949005184
53,0.13471208882331664
54,0.1996802124977064
55,0.032197369575501567
56,0.5351243534088157
57,0.22527745950222222
58,0.15747416591644425
59,0.9050102561712245
60,0.49502086091041386
61,0.06366622853279003
62,0.04501004385948448
63,1.0038231701850884
64,0.17693376231193492
65,0.01516791319847166
66,0.30966864585876097
67,0.20666072988510198
68,0.48991616046428943
69,0.18327107405662524
70,0.5392695422172573
71,0.5677082618474945
72,0.14379008615016864
73,0.11820081579685482
74,0.08175226688384885
75,0.4207798122167583
76,0.30458413636684334
77,0.5638702403306968
78,1.0997603130340585
79,0.05423124110698563
80,0.3541882623434063
81,0.09130640339851381
82,0.18858186304569347
83,0.28108867740631327
84,0.4737348514795292
85,0.13819396483897917
86,0.3035642075538638
87,0.052692378878593904
88,0.1185234458446498
89,0.13083601069450168
90,0.305743405699729
91,0.30998884880542765
92,0.0007011638879772519
93,0.6546728824377068
94,0.16302708244323583
95,0.2932738524675371
96,0.29328672981262227
97,0.4257051242589944
98,0.13446366226673057
99,0.038857829570768665
100,0.08691602265834786
101,0.10769803738593797
102,0.26022707366943587
103,0.08780325615406204
104,0.4881095576286303
105,0.09071121835708529
106,0.20763975882530183
107,0.27286199879646045
108,0.887091199636461
109,0.3602832707166679
110,0.1966463942527774
111,0.0059915211200740615
112,0.33064702272415203
113,0.757514644742014
114,0.4744781296253171
115,2.886579864025407e-15
116,0.3949671399593355
117,0.2398880754709234
118,0.22754108691215835
119,0.5160209261178967
120,0.10718346381187427
121,0.05282340061664614
122,0.7706407763957968
123,0.2737388210296632
124,0.6522409957647346
125,0.03752774357795685
126,0.30565857660770357
127,0.018400842428205166
128,0.26724008345604044
129,0.017798990249632718
130,0.26957849872112294
131,0.2937277183532703
132,0.2568855354785917
133,0.09011634898185727
134,0.4347106208801277
135,0.32940819978714275
136,0.6327062693834313
137,0.011336191534996543
138,0.30575310838222647
139,0.08744902598857962
140,0.03226161003112704
141,0.02571253728866818
142,0.8560924440622335
143,0.12727174091338833
144,0.1841005213260667
145,0.020672615051269272
146,0.1868568949699405
147,0.7045304590463648
148,0.1201582429409016
149,0.06771208977699539
150,0.9930145224332803
151,0.5002401225566886
152,0.632748351216315
153,0.40175105464458283
154,1.9984014443252818e-15
155,0.0
156,0.0
157,0.7104031732082359
158,0.5591079955101033
159,1.4892067160606395
160,0.49946757614612736
161,0.15194845819473235
162,0.15834310889244296
163,0.07515816688537136
164,0.4125182106494898
165,0.6667695007324221
166,0.31366097652912295
167,0.11784552049636776
168,0.11447234332561496
169,0.06109282195568122
170,0.08320920085906947
171,0.05592580842971695
172,0.5606353694200545
173,0.038883489608762645
174,0.13923486816883068
175,0.2179970165491112
176,0.151225949645045
177,0.4230304070711135
178,0.060304967403412846
179,0.0
180,0.251660876393319
181,0.15158349680900463
182,0.7482103470563883
183,0.4591144014596935
184,0.3734511238336533
185,0.34963714945316404
186,0.08549045002459987
187,0.24184475886821666
188,0.5248842594623548
189,0.12885286056995304
190,0.26107904970645723
191,0.30985000872612
192,0.14173678421974234
193,0.16032726573944212
194,0.014223296523093065
195,0.21865376830100902
196,0.1277820745706557
197,0.1260638405084613
198,0.2784230746030789
199,0.3810025497674938
200,0.5162844023704567
201,0.19746496200561392
202,0.18218461656570462
203,0.5942203620672224
204,0.06695686972141246
205,0.1461757353544244
206,0.1869511783123019
207,1.6287121506929387
208,1.0884289097785969
209,0.7557728202342988
210,0.17670288205146667
211,0.08922725534439113
212,0.11228499317169116
213,0.49551611375808413
214,0.06064114451408198
215,0.18549339878558557
216,0.20500664198398866
217,0.3214573568105701
218,0.03565582120418398
219,0.0787009131908416
220,0.6300657420158351
221,0.0860648577213301
222,0.19583096146583667
223,0.7708060307502738
224,0.01398584437370154
225,0.15887853741645808
226,0.034173288643359
227,0.5791024821996689
228,0.4993564020395269
229,0.08216919803619493
230,0.03733298873901347
231,0.01594080126285613
232,0.02463169956207567
233,0.14996769165992774
234,0.1413714470863381
235,0.871487212061882
236,0.10506747269630612
237,0.2035577163696285
238,0.10613160324096382
239,0.4612764235734961
240,0.09974434280395439
241,0.011388429045676052
242,0.15496359419822348
243,0.1319831718206408
244,0.14163136720657432
245,0.18973955595493264
246,0.012927758693694669
247,0.35062874412536504
248,0.33947026515007295
249,0.934172573804855
250,0.05353153181075987
251,0.35846630454063444
252,0.1859017099142073
253,0.49167370045184944
254,0.11040687370300173
255,0.18366876292228884
256,0.021312727689743127
257,0.26523548448085665
258,2.3204286161661143
259,0.4328009735345857
260,0.46165166187286255
261,0.08140683102607738
262,0.0039557544589041704
263,0.02004308700561719
264,0.262947896242141
265,0.854565145492554
266,0.69952923095226
267,0.6327305355072044
268,0.21491166102886305
269,0.258645656824111
270,0.2944935014247889
271,0.08178700447082843
272,0.16263344335555363
273,0.18430147600173807
274,0.2315629799365988
275,0.3998666878938688
276,0.314386090517047
277,0.36203290510177766
278,0.02361655306815935
279,1.2007118704318984
280,0.250502154350281
281,0.19547826528548873
282,0.23386785328388204
283,0.05798375165462488
284,0.04184605801105423
285,0.183311332702635
286,0.1058439531326294
287,0.24581390428543148
288,0.6096188057661065
289,0.3998182148933376
290,0.04889701902866417
291,0.25498128259182096
292,0.523150957465174
293,0.1606935753822345
294,0.22527321469784134
295,0.5211256362199772
296,0.10694932961464243
297,0.613213907241821
298,0.1426827422380441
299,0.600403505563734
300,0.9041705039739631
301,0.40295837831497394
302,1.0463818835020056
303,0.35770623397826906
304,0.7713284932374949
305,0.02770064282417639
306,0.48931916964054745
307,0.31150267148018074
308,0.4022691745758027
309,0.429065291047094
310,0.15706536006927685
311,0.4427583407163622
312,1.0669615803956967
313,0.061959870815279317
314,0.09522816693782654
315,0.45188583552837525
316,0.251775899052621
317,0.4993794039487822
318,0.0
319,0.762338023185728
320,0.40018057274818686
321,0.1998041515350346
322,0.47382252466678465
323,0.0994436764717117
324,0.7514097161293072
325,0.25054385161399706
326,0.321772230148317
327,0.5072463443279234
328,0.2745572316646623
329,8.881784197001252e-16
330,0.10244959592819569
331,0.11543939208983911
332,0.07736314392090016
333,0.3204933702945709
334,0.025610417962075083
335,0.20654759740829265
336,0.25501898312568727
337,0.38173666191100786
338,0.3657123284339904
339,0.30699074804782844
340,0.3951548056602485
341,0.5580503571033488
342,0.387603013992313
343,1.2103735768795008
344,0.27420966577529704
345,0.11191325712203826
346,0.6040265727043153
347,0.3498384704589812
348,0.29028211104869994
349,0.6168476796150224
350,0.4070310055017461
351,0.013899776101113481
352,0.302222340345383
353,0.04064418125152658
354,0.67989303660393
355,0.34970887720585164
356,0.5769963269233696
357,0.1696346523761748
358,0.124374600410464
359,0.29964615786075743
360,0.3511277836561184
361,0.7451810045242304
362,0.012338824033732543
363,0.48918294262886164
364,0.6407062714099867
365,0.5985272891521451
366,0.5139993643760672
