,big_1
0,0.8555738593339903
1,0.9844678943157188
2,0.1120041697025318
3,0.4603118066787708
4,0.9175758013725286
5,0.04629816460609337
6,0.5483961946964273
7,0.09083476102352006
8,0.3929350219964991
9,0.8096277759075168
10,0.022469434618948014
11,0.7793864226341247
12,0.13071484541892975
13,1.028745176434518
14,0.2908447967767671
15,1.2037288455963124
16,0.10282026338577666
17,0.2547728006839778
18,0.014994606971742819
19,0.40525566339492913
20,0.7347190680503886
21,0.008315250754356907
22,0.3874594184160225
23,0.05431003379821919
24,0.2537221471071236
25,0.5123717825412767
26,0.16252649414539322
27,0.005053902983664482
28,0.10567758059501342
29,0.02214622306823877
30,0.18262183523178166
31,1.1794143735170346
32,0.10207472729682987
33,0.4642145655155172
34,0.01050808537006298
35,0.3296621428728088
36,0.17765212273597664
37,0.08633094024658128
38,0.21978621101379536
39,0.36821110856533057
40,0.10936224126815652
41,0.19627975738048642
42,0.1550262546539316
43,0.01867544507980079
44,0.16131739175319915
45,0.0631452341079699
46,0.1383647624254234
47,0.21629612696170764
48,0.11863548755645859
49,0.14029322671890332
50,0.7541911102533339
51,0.600981128454209
52,1.602206161022186
53,0.8007662391662609
54,0.5495678174495704
55,0.38406632041931266
56,0.1342013695240043
57,0.5282964822053917
58,0.031182611942293992
59,0.05350340509414697
60,0.2518801856040951
61,0.48711172401904834
62,0.4411366810798638
63,1.0822164161205299
64,0.586582472443582
65,0.058371953606604965
66,0.2893666734695466
67,0.14439850378036834
68,0.9758833235502262
69,0.02784688591957174
70,0.4445047485828404
71,0.32921652245521704
72,0.16546134245395816
73,0.21694019913673257
74,0.6443999323844927
75,0.34894283771514845
76,0.24743655955791333
77,0.14336696803570215
78,0.09701135671138683
79,0.00846648478507861
80,0.20689190578460614
81,0.41324628829956134
82,0.40576709735393646
83,0.3557559942007056
84,0.3767058216333412
85,0.6243314238786715
86,0.05960421180725062
87,1.3348365548849095
88,0.8370729515552497
89,0.7542497270107289
90,0.057415063381195175
91,0.07674087095260518
92,0.2197202470302584
93,0.1681945919990533
94,0.1682873682975774
