,formula,A1,A1_ratio,nA1,A2,A2_ratio,nA2,B1,B1_ratio,B2,B2_ratio,X,X_ratio,Ra,Rb,Rx,nA
36,Sm1Co0.8Sb0.2O3,Sm,1,3,Sm,0,3,Co,0.8,Sb,0.19999999999999996,O,3,1.24,0.608,1.4,3
37,Ce0.2Sm1Co0.8O3,Sm,1,3,Sm,0,3,Co,0.8,Ce,0.19999999999999996,O,3,1.24,0.6619999999999999,1.4,3
38,Sm1Cr0.2Fe0.8O3,Sm,1,3,Sm,0,3,Fe,0.8,Cr,0.19999999999999996,O,3,1.24,0.639,1.4,3
39,Sm1Fe0.8Co0.2O3,Sm,1,3,Sm,0,3,Fe,0.8,Co,0.19999999999999996,O,3,1.24,0.638,1.4,3
40,Sm1Nb0.2Fe0.8O3,Sm,1,3,Sm,0,3,Fe,0.8,Nb,0.19999999999999996,O,3,1.24,0.644,1.4,3
41,Sm1In0.2Fe0.8O3,Sm,1,3,Sm,0,3,Fe,0.8,In,0.19999999999999996,O,3,1.24,0.6759999999999999,1.4,3
42,Sm1Er0.2Fe0.8O3,Sm,1,3,Sm,0,3,Fe,0.8,Er,0.19999999999999996,O,3,1.24,0.694,1.4,3
43,Sm1Fe0.8Sn0.2O3,Sm,1,3,Sm,0,3,Fe,0.8,Sn,0.19999999999999996,O,3,1.24,0.6539999999999999,1.4,3
44,Sm1Zr0.2Fe0.8O3,Sm,1,3,Sm,0,3,Fe,0.8,Zr,0.19999999999999996,O,3,1.24,0.6599999999999999,1.4,3
45,Sm1Be0.2Fe0.8O3,Sm,1,3,Sm,0,3,Fe,0.8,Be,0.19999999999999996,O,3,1.24,0.606,1.4,3
46,Sm1Fe0.8Ge0.2O3,Sm,1,3,Sm,0,3,Fe,0.8,Ge,0.19999999999999996,O,3,1.24,0.622,1.4,3
47,Sm1Hf0.2Fe0.8O3,Sm,1,3,Sm,0,3,Fe,0.8,Hf,0.19999999999999996,O,3,1.24,0.6579999999999999,1.4,3
48,Sm1Ti0.2Fe0.8O3,Sm,1,3,Sm,0,3,Fe,0.8,Ti,0.19999999999999996,O,3,1.24,0.637,1.4,3
49,Sm1Ga0.2Fe0.8O3,Sm,1,3,Sm,0,3,Fe,0.8,Ga,0.19999999999999996,O,3,1.24,0.64,1.4,3
50,Sm1Fe0.8Si0.2O3,Sm,1,3,Sm,0,3,Fe,0.8,Si,0.19999999999999996,O,3,1.24,0.596,1.4,3
51,Sm1Ta0.2Fe0.8O3,Sm,1,3,Sm,0,3,Fe,0.8,Ta,0.19999999999999996,O,3,1.24,0.644,1.4,3
52,Sm1Al0.2Fe0.8O3,Sm,1,3,Sm,0,3,Fe,0.8,Al,0.19999999999999996,O,3,1.24,0.623,1.4,3
53,Sm1Fe0.8Bi0.2O3,Sm,1,3,Sm,0,3,Fe,0.8,Bi,0.19999999999999996,O,3,1.24,0.722,1.4,3
54,Sm1Fe0.8B0.2O3,Sm,1,3,Sm,0,3,Fe,0.8,B,0.19999999999999996,O,3,1.24,0.5700000000000001,1.4,3
55,Sm1Fe0.8Sb0.2O3,Sm,1,3,Sm,0,3,Fe,0.8,Sb,0.19999999999999996,O,3,1.24,0.636,1.4,3
56,Ce0.2Sm1Fe0.8O3,Sm,1,3,Sm,0,3,Fe,0.8,Ce,0.19999999999999996,O,3,1.24,0.69,1.4,3
57,Sm1Nb0.8Cr0.2O3,Sm,1,3,Sm,0,3,Nb,0.8,Cr,0.19999999999999996,O,3,1.24,0.635,1.4,3
58,Sm1Nb0.8Co0.2O3,Sm,1,3,Sm,0,3,Nb,0.8,Co,0.19999999999999996,O,3,1.24,0.634,1.4,3
59,Sm1Nb0.8Fe0.2O3,Sm,1,3,Sm,0,3,Nb,0.8,Fe,0.19999999999999996,O,3,1.24,0.641,1.4,3
60,Sm1Nb0.8In0.2O3,Sm,1,3,Sm,0,3,Nb,0.8,In,0.19999999999999996,O,3,1.24,0.6719999999999999,1.4,3
61,Sm1Er0.2Nb0.8O3,Sm,1,3,Sm,0,3,Nb,0.8,Er,0.19999999999999996,O,3,1.24,0.69,1.4,3
62,Sm1Nb0.8Sn0.2O3,Sm,1,3,Sm,0,3,Nb,0.8,Sn,0.19999999999999996,O,3,1.24,0.6499999999999999,1.4,3
63,Sm1Zr0.2Nb0.8O3,Sm,1,3,Sm,0,3,Nb,0.8,Zr,0.19999999999999996,O,3,1.24,0.6559999999999999,1.4,3
64,Sm1Be0.2Nb0.8O3,Sm,1,3,Sm,0,3,Nb,0.8,Be,0.19999999999999996,O,3,1.24,0.602,1.4,3
65,Sm1Nb0.8Ge0.2O3,Sm,1,3,Sm,0,3,Nb,0.8,Ge,0.19999999999999996,O,3,1.24,0.618,1.4,3
66,Sm1Hf0.2Nb0.8O3,Sm,1,3,Sm,0,3,Nb,0.8,Hf,0.19999999999999996,O,3,1.24,0.6539999999999999,1.4,3
67,Sm1Ti0.2Nb0.8O3,Sm,1,3,Sm,0,3,Nb,0.8,Ti,0.19999999999999996,O,3,1.24,0.633,1.4,3
68,Sm1Nb0.8Ga0.2O3,Sm,1,3,Sm,0,3,Nb,0.8,Ga,0.19999999999999996,O,3,1.24,0.636,1.4,3
69,Sm1Nb0.8Si0.2O3,Sm,1,3,Sm,0,3,Nb,0.8,Si,0.19999999999999996,O,3,1.24,0.592,1.4,3
70,Sm1Ta0.2Nb0.8O3,Sm,1,3,Sm,0,3,Nb,0.8,Ta,0.19999999999999996,O,3,1.24,0.64,1.4,3
71,Sm1Nb0.8Al0.2O3,Sm,1,3,Sm,0,3,Nb,0.8,Al,0.19999999999999996,O,3,1.24,0.619,1.4,3
72,Sm1Nb0.8Bi0.2O3,Sm,1,3,Sm,0,3,Nb,0.8,Bi,0.19999999999999996,O,3,1.24,0.718,1.4,3
73,Sm1Nb0.8B0.2O3,Sm,1,3,Sm,0,3,Nb,0.8,B,0.19999999999999996,O,3,1.24,0.5660000000000001,1.4,3
74,Sm1Nb0.8Sb0.2O3,Sm,1,3,Sm,0,3,Nb,0.8,Sb,0.19999999999999996,O,3,1.24,0.632,1.4,3
75,Ce0.2Sm1Nb0.8O3,Sm,1,3,Sm,0,3,Nb,0.8,Ce,0.19999999999999996,O,3,1.24,0.6859999999999999,1.4,3
76,Sm1Cr0.2In0.8O3,Sm,1,3,Sm,0,3,In,0.8,Cr,0.19999999999999996,O,3,1.24,0.7630000000000001,1.4,3
77,Sm1In0.8Co0.2O3,Sm,1,3,Sm,0,3,In,0.8,Co,0.19999999999999996,O,3,1.24,0.7620000000000001,1.4,3
78,Sm1In0.8Fe0.2O3,Sm,1,3,Sm,0,3,In,0.8,Fe,0.19999999999999996,O,3,1.24,0.7690000000000001,1.4,3
79,Sm1Nb0.2In0.8O3,Sm,1,3,Sm,0,3,In,0.8,Nb,0.19999999999999996,O,3,1.24,0.7680000000000001,1.4,3
80,Sm1Er0.2In0.8O3,Sm,1,3,Sm,0,3,In,0.8,Er,0.19999999999999996,O,3,1.24,0.8180000000000001,1.4,3
81,Sm1In0.8Sn0.2O3,Sm,1,3,Sm,0,3,In,0.8,Sn,0.19999999999999996,O,3,1.24,0.778,1.4,3
82,Sm1Zr0.2In0.8O3,Sm,1,3,Sm,0,3,In,0.8,Zr,0.19999999999999996,O,3,1.24,0.784,1.4,3
83,Sm1Be0.2In0.8O3,Sm,1,3,Sm,0,3,In,0.8,Be,0.19999999999999996,O,3,1.24,0.7300000000000001,1.4,3
84,Sm1In0.8Ge0.2O3,Sm,1,3,Sm,0,3,In,0.8,Ge,0.19999999999999996,O,3,1.24,0.7460000000000001,1.4,3
85,Sm1Hf0.2In0.8O3,Sm,1,3,Sm,0,3,In,0.8,Hf,0.19999999999999996,O,3,1.24,0.782,1.4,3
86,Sm1Ti0.2In0.8O3,Sm,1,3,Sm,0,3,In,0.8,Ti,0.19999999999999996,O,3,1.24,0.7610000000000001,1.4,3
87,Sm1In0.8Ga0.2O3,Sm,1,3,Sm,0,3,In,0.8,Ga,0.19999999999999996,O,3,1.24,0.7640000000000001,1.4,3
88,Sm1In0.8Si0.2O3,Sm,1,3,Sm,0,3,In,0.8,Si,0.19999999999999996,O,3,1.24,0.7200000000000001,1.4,3
89,Sm1Ta0.2In0.8O3,Sm,1,3,Sm,0,3,In,0.8,Ta,0.19999999999999996,O,3,1.24,0.7680000000000001,1.4,3
90,Sm1Al0.2In0.8O3,Sm,1,3,Sm,0,3,In,0.8,Al,0.19999999999999996,O,3,1.24,0.7470000000000001,1.4,3
91,Sm1In0.8Bi0.2O3,Sm,1,3,Sm,0,3,In,0.8,Bi,0.19999999999999996,O,3,1.24,0.8460000000000001,1.4,3
92,Sm1In0.8B0.2O3,Sm,1,3,Sm,0,3,In,0.8,B,0.19999999999999996,O,3,1.24,0.6940000000000002,1.4,3
93,Sm1In0.8Sb0.2O3,Sm,1,3,Sm,0,3,In,0.8,Sb,0.19999999999999996,O,3,1.24,0.7600000000000001,1.4,3
94,Ce0.2Sm1In0.8O3,Sm,1,3,Sm,0,3,In,0.8,Ce,0.19999999999999996,O,3,1.24,0.8140000000000001,1.4,3
95,Sm1Er0.8Cr0.2O3,Sm,1,3,Sm,0,3,Er,0.8,Cr,0.19999999999999996,O,3,1.24,0.8350000000000001,1.4,3
96,Sm1Er0.8Co0.2O3,Sm,1,3,Sm,0,3,Er,0.8,Co,0.19999999999999996,O,3,1.24,0.8340000000000001,1.4,3
